আছ
আছে
আসামিদের
আত্মীয়স্বজনকে 
আত্মরক্ষা আত্ম+রক্ষা
বীরত্বগাথার বীর+ত্ব+গাথা+র
বীরকোট বীর+কোট
বীরউত্তম বীর+উত্তম
বাঁচলাম বাঁচ+ল+াম, বাঁচ+ল+া+ম
বাছাইকৃতদের বাছাই+কৃত+দের
বাজেভাবেই বাজে+ভাব+ে+ই
বাণিজ্য বাণিজ্য
বাসায় বাসা+য়
বাসের বাস+ের
বাসটির বাস+টি+র
বাস্তবতাকেই বাস্তব+তা+কে+ই
বাতুলতার বাতুল+তা+র
বাবাকে বাবা+কে
বাবু বাবু
বাবুগঞ্জ বাবু+গঞ্জ
বাদী বাদ+ী
বাদ্য বাদ্য
বাথরুম বাথ+রুম
বাহক বাহক
বাইসাইকেলযোগে বাই+সাইকেল+যোগ+ে
বাইড়ি বাইড়ি
বাকি বাকি
বাকিগুলোতে বাকি+গুলো+তে
বাক্সবন্দি বাক্স+বন্দ+ি
বাক্যও বাক্য+ও
বালি বালি
বালুয়া বালু+য়া
বানাতে বানা+তে
বানাচ্ছে বানা+চ্ছ+ে
বান্ধব বান্ধব
বান্ধবদের বান্ধব+দের
বাঙালিরা বাঙাল+ি+রা
বারোমাসি বারো+মাসি
বার্তাই বার্তা+ই
বার্তার বার্তা+র
বার্ডের বার্ড+ের
বাড়ল বাড়+ল
বাংলাতেই বাংলা+তে+ই
বাংলাদেশের বাংলাদেশ+ের
বছরদুয়েক বছর+দুয়েক
বধূয়া বধূ+য়া
বেফঁাস বে+ফঁাস
বেতন বেতন
বেতনকাঠামোও বেতন+কাঠামো+ও
বেদ বেদ
বেদিশা বে+দিশা
বেদনাদায়ক বেদনা+দায়+ক
বেকার বেকার
বেপরোয়াও বে+পরোয়া+ও
বেরোনোর বের+ো+নো+র
বেরোয় বের+ো+য়
বিভাজক বি+ভাজক
বিভাগের বি+ভাগ+ের, বিভাগ+ের
বিভাগেরও বি+ভাগ+ের+ও, বিভাগ+ের+ও
বিভিন্ন বি+ভিন্ন
বিভিন্নভাবে বি+ভিন্ন+ভাব+ে
বিভক্তির বিভক্ত+ি+র
বিছানার বিছানা+র
বিধানসহ বিধান+সহ
বিধানগুলোর বিধান+গুলো+র
বিধিও বিধি+ও
বিধংসীও বিধংসী+ও
বিষাদও বিষাদ+ও
বিষধর বিষ+ধর
বিষয়ক বিষয়+ক
বিষয়টিও বিষয়+টি+ও
বিষ্ঞুপুর বিষ্ঞু+পুর
বিজয়ীকে বি+জয়+ী+কে
বিজ্ঞপ্তিটি বিজ্ঞপ্তি+টি
বিখ্যাত বিখ্যাত
বিফল বি+ফল
বিস্ফোরণ বিস্ফোরণ
বিতর্কগুলো বি+তর্ক+গুলো, বিতর্ক+গুলো
বিবৃতি বিবৃতি
বিব্রতকরণ বিব্রত+করণ
বিচারে বিচার+ে
বিচারেও বিচার+ে+ও
বিচু্যত বি+চু্যত
বিদেশীদের বি+দেশ+ী+দের
বিদেশীকেও বি+দেশ+ী+কে+ও
বিদেশে বি+দেশ+ে
বিদেশের বি+দেশ+ের
বিদ্বেষ বিদ্বেষ
বিদ্যানিকেতন বিদ্যা+নিকেতন
বিদ্যাপীঠে বিদ্যা+পীঠ+ে
বিদ্রোহের বিদ্রোহ+ের
বিহলতা বিহল+তা
বিকেন্দ্রীকরণের বি+কেন্দ্র+ী+করণ+ের
বিকল্পও বিকল্প+ও
বিকট বিকট
বিক্ষোভ বিক্ষোভ
বিলাস বিলাস
বিলাপ বিলাপ
বিলে বিল+ে
বিলম্বের বিলম্ব+ের
বিমানভাড়া বিমান+ভাড়া
বিমানটি বিমান+টি
বিন বিন
বিনাশর্তে বিনা+শর্ত+ে
বিনির্মাণে বি+নির্মাণ+ে
বিনিয়োগকে বি+নিয়োগ+কে
বিনিয়োগকেও বি+নিয়োগ+কে+ও
বিনয় বিনয়
বিপর্যয়ের বিপর্যয়+ের
বিপ্লবে বিপ্লব+ে
বিরাগভাজনও বি+রাগ+ভাজন+ও
বিরোধিতায় বিরোধ+ি+তা+য়
বিরলই বিরল+ই
বিশুদ্ধ বি+শুদ্ধ
বিশদভাবে বিশদ+ভাব+ে
বিশটি বিশ+টি
বিশ্বাসী বিশ্বাস+ী
বিশ্বাসটাকে বিশ্বাস+টা+কে
বিশ্বসুন্দরী বিশ্ব+সুন্দর+ী
বিশ্বব্যাংক বিশ্ব+ব্যাংক
বিশ্লেষণী বিশ্লেষণ+ী
বিশ্লেষকদের বিশ্লেষক+দের
বিয়ের বিয়ে+র
বিয়োজন বিয়োজন
বিয়োগে বিয়োগ+ে
বজ্রঝড় বজ্র+ঝড়
বোতলটি বোতল+টি
বোলিং বোল+িং
বোমাও বোমা+ও
বোন বোন
বোর্ড বোর্ড
বোর্ডটা বোর্ড+টা
বৃষ্টিহীন বৃষ্টি+হীন
বৃত্তকে বৃত্ত+কে
বৃহত্তরভাবে বৃহত্তর+ভাব+ে
বসিয়েছে বস+িয়ে+ছ+ে
বসুন বস+ুন
বসলেও বস+লে+ও
বসন্ত বসন্ত
বস্তা বস্তা
বস্তাপচা বস্তা+পচা
বস্তি বস্তি
বুদ্ধিজীবী বুদ্ধি+জীব+ী
বুদ্ধমন্দির বুদ্ধ+মন্দির
বুকের বুক+ের
বুলাতেই বুলা+তে+ই
বুলবুলে বুলবুলে
বুনিয়া বুন+িয়া
বুঝিয়ে বুঝ+িয়ে
বুঝতে বুঝ+তে
বহাল বহাল
বহির্বিশ্ব বহির্+বিশ্ব
বহির্বিশ্বে বহির্+বিশ্ব+ে
বহুসংখ্যক বহু+সংখ্যক
বহুকিছু বহু+কিছু
বহুমাত্রা বহু+মাত্রা
বইবহির্ভূত বই+বহির্ভূত
বকে বক+ে
বাক্স বাক্স
বক্তারা বক্তা+রা
বক্তৃতাগুলোর বক্তৃতা+গুলো+র
বক্তৃতার বক্তৃতা+র
বলছি বল+ছ+ি
বলেন বল+ে+ন
বলেনি বল+ে+নি
বলি বলি
বলত বল+ত
বনভূমি বন+ভূমি
বন্ধুত্বপূর্ণ বন্ধুত্ব+পূর্ণ
বন্ধুবান্ধবের বন্ধু+বান্ধব+ের
বন্ধুকে বন্ধু+কে
বন্ড বন্ড
বন্যপ্রাণীরা বন্য+প্রাণ+ী+রা
বরাবরের বরাবর+ের
বরখাস্ত বরখাস্ত
বর্ষসেরাকে বর্ষ+সেরা+কে
বর্জ্য বর্জ্য
বর্তমানে বর্তমান+ে
বর্গমাইল বর্গ+মাইল
বর্গমাইলে বর্গ+মাইল+ে
বয়সেই বয়স+ে+ই
বয়স্করা বয়স্ক+রা
বড়ভাই বড়+ভাই
বড়জোর বড়+জোর
বড়বাড়ী বড়+বাড়ী
ব্যাচ ব্যাচ
ব্যাকরণ ব্যাকরণ
ব্যানারটির ব্যানার+টি+র
ব্যান্ড ব্যান্ড
ব্যান্ডবাদক ব্যান্ড+বাদ+ক
ব্যাপকতাও ব্যাপক+তা+ও
ব্যাটালিয়নের ব্যাটালিয়ন+ের
ব্যাটিংয়ে ব্যাট+িং+য়ে
ব্যাটই ব্যাট+ই
ব্যাংক ব্যাংক
ব্যাংকগুলোতে ব্যাংক+গুলো+তে
ব্যাংকও ব্যাংক+ও
ব্যস্ততা ব্যস্ত+তা
ব্যবসায়ী ব্যবসা+য়ী
ব্যবসায়ীদের ব্যবসা+য়ী+দের
ব্যবস্থাই ব্যবস্থা+ই
ব্যবহারে ব্যবহার+ে
ব্যক্তিত্বদের ব্যক্তি+ত্ব+দের
ব্যক্তিগণের ব্যক্তি+গণ+ের
ব্যর্থতায় ব্যর্থ+তা+য়
ব্যয় ব্যয়
ব্যয়টাকে ব্যয়+টা+কে
ব্রিটিশবিরোধী ব্রিটিশ+বি+রোধ+ী
ব্র্যাকেটবন্দি ব্র্যাকেট+বন্দ+ি
চঁাদাবাজ চঁাদা+বাজ
চীনা চীন+া
চৌতন্যগলির চৌতন্য+গলি+র
চৌমোহনায় চৌ+মোহনা+য়
চাবির চাবি+র
চাচা চাচা
চাদরেই চাদর+ে+ই
চাকচিক্য চাক+চিক্য
চাকরিবিধির চাকরি+বিধি+র
চাকরিচ্যুতি চাকরি+চ্যুত+ি
চালাচ্ছে চালা+চ্ছ+ে
চালান চাল+া+ন
চালানো চাল+া+নো
চালতা চাল+তা
চালুরও চালু+র+ও
চামড়াশিল্প চামড়া+শিল্প
চান চান
চারেক 1 চার+েক, চার+এক
চারপাশেও চার+পাশ+ে+ও
চারটা চার+টা
চারটিতেই চার+টি+তে+ই
চেতনা চেতনা
চেনাই চেনা+ই
চেনামুখই চেনা+মুখ+ই
চেয়ারপারসনের চেয়ার+পারসন+ের
চিতার চিতা+র
চিত্তে চিত্ত+ে
চিকিত্সারত চিকিত্সা+রত
চিকিত্সক চিকিত্সক
চিন্তা চিন্তা
চিন্তার চিন্তা+র
চিপাগলির চিপা+গলি+র
চণ্ডীতেই চণ্ডী+তে+ই
চোরাগোপ্তা চোরা+গোপ্তা
চত্বর চত্বর
চুক্তি চুক্তি
চুক্তিনামা চুক্তি+নাম+া
চুক্তিটাতেই চুক্তি+টা+তে+ই
চুক্তিটির চুক্তি+টি+র
চক্ষুদানের চক্ষু+দান+ের
চলছে চল+ছ+ে
চলচ্চিত্রটিও চল+চ্চিত্র+টি+ও
চলন চলন
চমত্কার চমত্কার
চরের চর+ের
চরটি চর+টি
চটিয়েছে চটিয়ে+ছ+ে
চটতে চট+তে
চড়াদামের চড়া+দাম+ের
চড়েন চড়+ে+ন
চ্যানেলগুলোও চ্যানেল+গুলো+ও
দঁাড়াননি দঁাড়া+ন+নি
দঁাড়ায় দঁাড়া+য়
দীর্ঘশ্বাস দীর্ঘ+শ্বাস
দৌরাত্ম্য দৌরাত্ম্য
দৌড়াদৌড়ি দৌড়া+দৌড়ি
দৌড়ানো দৌড়ান+ো
দাসখত দাস+খত
দাতাপ্রতিনিধি দাতা+প্রতিনিধি
দাবি দাবি
দাবিকৃত দাবি+কৃত
দাবিপূরণের দাবি+পূরণ+ের
দামটা দাম+টা
দানকারীরাও দান+কার+ী+রা+ও
দানও দানও
দাওয়াত দাওয়াত
দাওয়ায় দাওয়া+য়
দায়ভার দায়+ভার
দায়িত্ব দায়িত্ব
দায়িত্বেও দায়িত্ব+ে+ও
দধি দধি
দেখা দেখা
দেখাচ্ছে দেখ+া+চ্ছ+ে
দেখানো দেখ+া+নো
দেখায়নি দেখ+ায়+নি
দেখছে দেখ+ছ+ে
দেখেনি দেখ+ে+নি
দেখেননি দেখ+ে+ন+নি
দেবীনগর দেব+ী+নগর
দেহব্যবসায় দেহ+ব্যবসা+য়
দেনা দেনা
দেওয়া দেওয়া
দেওয়াই দেওয়া+ই
দেওয়াও দেওয়া+ও
দেওয়ার দেওয়া+র
দেওয়াটাকে দেওয়া+টা+কে
দেশে দেশ+ে
দেশের দেশ+ের
দেশত্যাগের দেশ+ত্যাগ+ের
দেশব্যাপীই দেশ+ব্যাপী+ই
দেশপ্রেমিক দেশ+প্রেম+িক
দেশপ্রেমহীন দেশ+প্রেম+হীন
দেউলিয়াত্ব দেউলিয়া+ত্ব
দিঘি দিঘি
দিবা দিবা
দিল্লিভিত্তিক দিল্লি+ভিত্তি+ক
দিনগুলোয় দিন+গুলো+য়
দিনকে দিন+কে
দিনমজুররা দিন+মজুর+রা
দিনরাত দিন+রাত
দিনটির দিন+টির
দখলে দখল+ে
দণ্ডসুদ দণ্ড+সুদ
দণ্ডবিধি দণ্ড+বিধি
দোষের দোষ+ের
দোকানসংলগ্ন দোকান+সংলগ্ন
দোকানদারকে দোকান+দার+কে
দোকানদাররা দোকান+দার+রা
দৃঢ়চেতা দৃঢ়+চেতা
দৃশ্যও দৃশ্য+ও
দত্তপাড়ার দত্ত+পাড়া+র
দুভাগে দু+ভাগ+ে
দুষ্টচক্র দুষ্ট+চক্র
দুজনও দু+জন+ও
দুখ দুখ
দুসংবাদে দু+সংবাদ+ে
দুস্বপ্নের দু+স্বপ্ন+ের
দুই দু+ই
দুইজনই দু+ই+জন+ই
দুলেছে দুল+ে+ছ+ে
দুলিয়ে দুল+িয়ে
দুপুরে দুপুর+ে
দুর্ঘটনা দুর্+ঘটন+া
দুর্গ দুর্গ
দুর্নীর্তিবাজ দুর্+নীর্তি+বাজ
দুশ্চিন্তাগ্রস্ত দুশ্+চিন্তা+গ্রস্ত
দুটিসহ দুটি+সহ
দুটিরই দুটি+র+ই
দূরত্বভেদে দূর+ত্ব+ভেদ+ে
দূরই দূর+ই
দলিল দলিল
দলসমূহ দল+সমূহ
দলকেই দল+কে+ই
দলমত দল+মত
দলনেতাকে দল+নেতা+কে
দলনেতাকেই দল+নেতা+কে+ই
দলও দল+ও
দলটিরই দল+টি+র+ই
দম্পতি দম্পতি
দরজাটি দরজা+টি
দরদ দরদ
দরদাতারা দর+দাতা+রা
দর্শানোর দর্শানো+র
দয়ালকে দয়াল+কে
দ্বীপপুঞ্জে দ্বীপ+পুঞ্জ+ে
দ্বারপ্রান্তে দ্বার+প্রান্ত+ে
দ্বিতীয়টিতে দ্বিতীয়+টি+তে
দ্বিতীয় দ্বিতীয়
দ্বন্দ্বটা দ্বন্দ্ব+টা
দ্রুততায় দ্রুত+তা+য়
দ্রুতগতিতে দ্রুত+গতি+তে
দ্রুতগতির দ্রুত+গতি+র
এজেন্ডাগুলোর এজেন্ডা+গুলো+র
এখানে এ+খান+ে
এখতিয়ারে এখতিয়ার+ে
এসবকে এ+সব+কে
এতিম এতিম
এতদিন এত+দিন
এতদঞ্চলে এতদ+ঞ্চল+ে
এগোনো এগো+নো
এগুলোর এ+গুলো+র
একধাপ এক+ধাপ
একসঙ্গে এক+সঙ্গ+ে
একত্রিশবার এক+ত্রিশ+বার
একুশে একুশ+ে
একবার এক+বার
এককথায় এক+কথা+য়
একলাম্পশিয়া একলাম্পশিয়া
একমত এক+মত
একমঞ্চে এক+মঞ্চ+ে
একশ একশ
একটানা এক+টানা
এলাকাবাসীও এলাকা+বাস+ী+ও
এলাকাও এলাকা+ও
এমনিতে এমনি+তে
এমপিদের এমপি+দের 
এমটি এমটি
এনার্জি এনার্জি
এনার্জিকে এনার্জি+কে
এন্ট্রি এন্ট্রি
এপ্রিলে এপ্রিল+ে
এটাসেটা এটা+সেটা
এটিকেই এ+টি+কে+ই
এয়ারপোর্টের এয়ার+পোর্ট+ের
থাকেনি থাক+ে+নি
থাকব থাক+ব
থাকলেও থাক+লে+ও
থেকেইবা থেকে+ই+বা
থেরাপিস্টসহ থেরাপি+স্ট+সহ
গীত গীত
গায়িকা গায়িকা
গাড়িগুলো গাড়ি+গুলো
গভীরে গভীর+ে
গভর্নরের গভর্নর+ের
গেইট গেইট
গেলাম গে+ল+াম
গেরিলা গেরিলা
গণধর্ষণ গণ+ধর্ষণ
গণিত গণিত
গণিতকে গণিত+কে
গণসংযোগ গণ+সংযোগ
গণতন্ত্রায়ন গণ+তন্ত্র+ায়ন
গণবিপন্নতা গণ+বিপন্ন+তা
গণমাধ্যমগুলোকে গণ+মাধ্যম+গুলো+কে
গণপতি গণ+পতি
গণপ্রজাতন্ত্রী গণ+প্রজা+তন্ত্র+ী
গোষ্ঠীকে গোষ্ঠী+কে
গোলাপের গোলাপ+ের
গোলযোগ গোল+যোগ
গোলক্ষুধা গোল+ক্ষুধা
গোলরক্ষককে গোল+রক্ষক+কে
গোলটিতেও গোল+টি+তে+ও
গোলটিকেই গোল+টি+কে+ই
গোয়ালঘরে গোয়াল+ঘর+ে
গোড়াতে গোড়া+তে
গোড়াতেই গোড়া+তে+ই
গৃহবধূকে গৃহ+বধূ+কে
গতিবিধি গতি+বিধি
গুজাদিয়া গুজাদিয়া
গুণী গুণ+ী
গুদামে গুদাম+ে
গুনাহসমূহ গুনাহ+সমূহ
গুনছে গুন+ছ+ে
গুরুগুরু গুরু+গুরু
গদিঘর গদি+ঘর
গলার গলা+র
গল্পসমগ্র গল্প+সমগ্র
গল্পগাথা গল্প+গাথা
গন্ধ গন্ধ
গন্ধটা গন্ধ+টা
গঙ্গাচড়ার গঙ্গা+চড়া+র
গরজে গরজ+ে
গর্ভধারিণী গর্ভ+ধারিণী
গর্ভসঞ্চার গর্ভ+সঞ্চার
গঠনের গঠন+ের
গড়ে গড়+ে
গড়িয়ে গড়+িয়ে
গড়িয়েছে গড়+িয়ে+ছ+ে
গড়তে গড়+তে, গড়+ত+ে
গ্যাসসম্পদকে গ্যাস+সম্পদ+কে
গ্যাসক্ষেত্র গ্যাস+ক্ষেত্র
গ্যালারিতে গ্যালারি+তে
গ্লাডিয়েটরের গ্লাডিয়েটর+ের
গ্লানি গ্লানি
গ্রীষ্নের গ্রীষ্ন+ের
গ্রাম গ্রাম
গ্রামছাড়া গ্রাম+ছাড়া
গ্রামবাসী গ্রাম+বাস+ী
গ্রামগুলোতে গ্রাম+গুলো+তে
গ্রামপ্রধান গ্রাম+প্রধান
গ্রেডের গ্রেড+ের
গ্রেপ্তার গ্রেপ্তার
গ্রহণকে গ্রহণ+কে
হঁাস হঁাস
হঁাটাচলা হঁাট+া+চল+া
হঁাড়ি হঁাড়ি
হাঁদারামগুলো হাঁদা+রাম+গুলো
হাজারেরও হাজার+ের+ও
হাজেরার হাজেরা+র
হাসায় হাস+া+য়
হাসে হাস+ে
হাসিমুখ হাসি+মুখ
হাসপাতালটিতে হাসপাতাল+টি+তে
হাসপাতালের হাসপাতাল+ের
হাস্যরস হাস্য+রস
হাতাহাতি হাত+া+হাত+ি
হাতটি হাত+টি
হালকাভাবেও হালকা+ভাব+ে+ও
হামলাস্থল হামলা+স্থল
হানার হানা+র
হার হার
হারাচ্ছি হার+া+চ্ছ+ি
হারামের হারাম+ের
হারানোর হার+া+নো+র
হারেই হার+ে+ই
হারলে হার+লে, হার+ল+ে
হার্টে হার্ট+ে
হাউসগুলো হাউস+গুলো
হাড়গোড় হাড়+গোড়
হেঁয়ালি হেঁয়ালি
হিসাববিজ্ঞানের হিসাব+বি+জ্ঞান+ের
হিসেবেও হিসেব+ে+ও
হিরোকে হিরো+কে
হিংসাও হিংসা+ও
হোতা হোতা
হোটেল হোটেল
হোটেলপাড়া হোটেল+পাড়া
হতাশ হতাশ
হতাশাজনকই হতাশা+জনক+ই
হতাশার হতাশা+র
হত্যা হত্যা
হুইপদের হুইপ+দের
হুল্লোড় হুল্লোড়
হুমকির হুমকি+র
হুমড়ি হুমড়ি
হুশিয়ারি হুশিয়ার+ি
হবেনই হব+ে+ন+ই, হব+েন+ই
হইচই হই+চই
হয়েই হ+য়ে+ই
হয়েও হ+য়ে+ও
হয়রানিমূলক হয়রান+ি+মূলক
হয়রানির হয়রান+ি+র
ইসলামপন্থি ইসলাম+পন্থি
ইস্যুগুলো ইস্যু+গুলো
ইস্কুলের ইস্কুল+ের
ইচ্ছাও ইচ্ছা+ও
ইকোনমিস্ট ইকোনমি+স্ট
ইনিংসও ইনিংস+ও
ইনিংসটিকেই ইনিংস+টি+কে+ই
ইন্সপেক্টরসহ ইন্সপেক্টর+সহ
যৌথসভায় যৌথ+সভা+য়
যৌনতাবিষয়ক যৌন+তা+বিষয়+ক
যাত্রীবেশে যাত্রী+বেশ+ে
যাত্রীরাও যাত্রী+রা+ও
যাচাই যাচাই
যাচাইয়ের যাচাই+য়ের
যাচ্ছেই যা+চ্ছ+ে+ই
যাওয়াকেই যাওয়া+কে+ই
যেতে যে+ত+ে, যে+তে
যেকোন যে+কোন
যোগাযোগে যোগা+যোগ+ে
যোগ্যদের যোগ্য+দের
যতদিন যত+দিন
যতদূর যত+দূর
যতটুকু যত+টুকু
যুবকল্যাণ যুব+কল্যাণ
যুদ্ধবিগ্রহের যুদ্ধ+বি+গ্রহ+ের
যুদ্ধক্ষেত্র যুদ্ধ+ক্ষেত্র
যুগল যুগল
যুগ্মভাবে যুগ্ম+ভাব+ে
যুক্তিপ্রবণ যুক্তি+প্রবণ
যথাক্রমে যথা+ক্রম+ে
কঁাচা কঁাচা
কঁাচাবাজারগুলোয় কঁাচা+বাজার+গুলো+য়
কঁাচি কঁাচি
কঁাপছে কঁাপ+ছ+ে
কঁাটার কঁাটা+র
কীর্তিটি কীর্তি+টি
কীটনাশকমুক্ত কীট+নাশ+ক+মুক্ত
কৌতূহলই কৌতূহল+ই
কাঁধেই কাঁধ+ে+ই
কাঁচামালের কাঁচা+মাল+ের
কাঁদিয়েই কাঁদ+িয়ে+ই
কাজগুলো কাজ+গুলো
কাজটাকে কাজ+টা+কে
কালা কাল+া
কালের কাল+ের
কামও কাম+ও
কানফাটা কান+ফাটা
কান্নায় কান্না+য়
কাপুরুষ কা+পুরুষ
কাপড়কে কাপড়+কে
কারা কারা
কারিগরদের কারিগর+দের
কারখানায়  কার+খানা+য়
কারণ কারণ
কারণেই কারণ+ে+ই
কারুশিল্পের কারু+শিল্প+ের
কার্যপরিধি কার্য+পরিধি
কাটছিল কাট+ছ+িল, কাট+ছি+ল
কাটছিলেন কাট+ছ+িল+ে+ন, কাট+ছি+ল+ে+ন
কাটিয়েছি কাট+িয়ে+ছ+ি
কাটপিস কাট+পিস
কেবিনগুলোর কেবিন+গুলো+র
কেথা কেথা
কেনই কেন+ই
কেনাকাটাসহ কেনা+কাট+া+সহ
কেয়ারটেকারকে কেয়ার+টেক+ার+কে
কষাব কষা+ব
কষ্টের কষ্ট+ের
কষ্টসাধ্য কষ্ট+সাধ্য
কিছুকে কিছু+কে
কিলোগ্রাম কিলো+গ্রাম
কিনে কিন+ে
কিনেও কিন+ে+ও
কিনবে কিন+ব+ে
কিশোররা কিশোর+রা
কখন কখন
কখনো কখন+ো
কণ্টকমুক্ত কণ্টক+মুক্ত
কণ্ঠস্বর কণ্ঠ+স্বর
কোম্পানিগুলোকে কোম্পানি+গুলো+কে
কোম্পানিটির কোম্পানি+টি+র
কোনার কোনা+র
কোন্দলে কোন্দল+ে
কোটামুক্ত কোটা+মুক্ত
কোটি কোটি
কোটিপতি কোটি+পতি
কৃষিনির্ভরতা কৃষি+নির্ভর+তা
কৃতকর্ম কৃত+কর্ম
কসরতসহ কসরত+সহ
কতজনের কত+জন+ের
কুণ্ঠিত কুণ্ঠ+িত
কুতুব কুতুব
কুতুবের কুতুব+ের
কুদরাত কুদরাত
কুমড়ো কুমড়ো
কুটতে কুট+তে
কূটকৌশল কূট+কৌশল
কূটনীতিক কূট+নীতি+ক
কবিরাজ কবি+রাজ, কবিরাজ
কদাচিত্ই কদাচিত্+ই
কথাটিও কথা+টি+ও
কলেজছাত্রীকে কলেজ+ছাত্র+ী+কে
কলেজজীবনের কলেজ+জীব+ন+ের
কলমের কলম+ের
কলঙ্কের কলঙ্ক+ের
কল্লোল কল্লোল
কমান্ড কমান্ড
কমে কম+ে
কমিশনার কমিশন+ার
কমিশনাররা কমিশন+ার+রা
কমিশনে কমিশন+ে
কমিটিকে কমিটি+কে
কমিউনিস্টরা  কমিউনিস্ট+রা
কম্পনের কম্পন+ের
কনভেনশনের কনভেনশন+ের
কনটেইনারে কনটেইন+ার+ে
কন্টিনিউয়িং কন্টিনিউয়+িং
কপিও কপি+ও
করা কর+া
করছেন কর+ছ+ে+ন
করিয়েই কর+িয়ে+ই
করবে কর+ব+ে
করবই কর+ব+ই
করলাম কর+ল+াম
করলেন কর+ল+ে+ন
কর্তারা কর্তা+রা
কর্তন কর্তন
কর্মএলাকা কর্ম+এলাকা
কর্মকর্তাগণ কর্ম+কর্তা+গণ
কর্মপ্রচেষ্টায় কর্ম+প্র+চেষ্টা+য়
কর্মরতদের কর্ম+রত+দের
কর্নেলের কর্নেল+ের
কঠিন কঠিন
কয়দিন কয়+দিন
কয়টি কয়+টি
কড়া কড়া
কড়াই কড়া+ই
ক্ষেত্রগুলোকেও ক্ষেত্র+গুলো+কে+ও
ক্ষিপ্রতা ক্ষিপ্র+তা
ক্ষোভ ক্ষোভ
ক্ষতিতে ক্ষতি+তে
ক্ষতিগ্রস্ত ক্ষতি+গ্রস্ত
ক্ষতিই ক্ষতি+ই
ক্ষতিকর ক্ষতি+কর
ক্ষতিপূরণ ক্ষতি+পূরণ
ক্ষুদ্র ক্ষুদ্র
ক্যাডারভুক্ত ক্যাডার+ভুক্ত
ক্যাচিংয়ে ক্যাচ+িং+য়ে
ক্যাটেগরিতে ক্যাটেগরি+তে
ক্লাবগুলোর ক্লাব+গুলো+র
ক্লিনিকগুলোয় ক্লিনিক+গুলো+য়
ক্লিয়ারে ক্লিয়ার+ে
ক্রীড়াবিদকে ক্রীড়া+বিদ+কে
ক্রীড়াব্যক্তিত্বকে ক্রীড়া+ব্যক্তি+ত্ব+কে
ক্রেতা ক্রেতা
ক্রয়ক্ষমতার ক্রয়+ক্ষমতা+র
ক্রয়মূল্যই ক্রয়+মূল্য+ই
লীলার লীলা+র
লাগছেই লাগ+ছ+ে+ই
লাগে লাগ+ে
লাগবে লাগ+ব+ে
লাগলেই লাগ+লে+ই
লাইন লাইন
লাকি লাকি
লালসালু লাল+সালু
লাউডস্পিকারের লাউড+স্পিক+ার+ের
লেফটেন্যান্টকে লেফটেন্যান্ট+কে
লেবেলবিহীন লেবেল+বি+হীন
লেকচারার লেকচার+ার
লিডারস লিড+ার+স
লিগ লিগ
লোভ লোভ
লোকদেখানো লোক+দেখ+া+নো
লোকদেরও লোক+দের+ও
লঞ্চে লঞ্চ+ে
লঞ্চগুলোয় লঞ্চ+গুলো+য়
লবটি লব+টি
লক্ষ্য লক্ষ্য
লক্ষ্যণীয় লক্ষ্যণ+ীয়
লঙ্ঘন লঙ্ঘন
লঙ্ঘনে লঙ্ঘন+ে
ল্যাবে ল্যাব+ে
ল্যান্ডওভারে ল্যান্ড+ওভার+ে
মীমাংসাসহ মীমাংসা+সহ
মাছের মাছ+ের
মাছগুলো মাছ+গুলো
মাফিয়ারা মাফিয়া+রা
মাসেরই মাস+ের+ই
মাতৃদুগ্ধের মাতৃ+দুগ্ধ+ের
মাতৃমৃত্যু মাতৃ+মৃত্যু
মাদকদ্রব্য মাদক+দ্রব্য
মাদকমুক্ত মাদক+মুক্ত
মাথাই মাথা+ই
মাথাপিছু মাথা+পিছু
মাইক্রোবাস মাইক্রো+বাস
মাইনিং মাইন+িং
মালা মালা
মামলাগুলোও মামলা+গুলো+ও
মানে মান+ে, মানে
মানিয়া মান+িয়া
মানোন্নয়নের 1 মান+োন্নয়ন+ের
মানবজাতিকেই মানব+জাত+ি+কে+ই
মানবজমিনে মানব+জমিন+ে
মানবতাবাদীদের মানব+তা+বাদী+দের
মানটা মান+টা
মারপঁ্যাচ মার+পঁ্যাচ
মাটির মাটি+র
মাঝে মাঝ+ে
মাঝিপাড়া মাঝি+পাড়া
মাঝখানে মাঝ+খান+ে
মাঠেই মাঠ+ে+ই
মাঠও মাঠ+ও
মধ্যরাত মধ্য+রাত
মেজাজও মেজাজ+ও
মেজর মেজর
মেডিকেলটাই মেডিকেল+টা+ই
মেগাওয়াটেও মেগা+ওয়াট+ে+ও
মেম্বারদের মেম্বার+দের
মেটাতে মেটা+তে
মেয়েপক্ষের মেয়ে+পক্ষ+ের
মেয়েশিশু মেয়ে+শিশু
মেয়রপ্রার্থী মেয়র+প্রার্থী
মিডিয়াসহ মিডিয়া+সহ
মিথ্যে মিথ্যে
মিলাদ মিলাদ
মিলিতভাবে মিলিত+ভাব+ে
মিলনায়তনে মিলনায়তন+ে
মিলনমেলা মিলন+মেলা
মিটিমিটি মিটি+মিটি
মজবুত মজবুত
মণ্ড মণ্ড
মৃত্যুদণ্ডপ্রাপ্তদের মৃত্যু+দণ্ড+প্রাপ্ত+দের
মৃত্যুকে মৃত্যু+কে
মসজিদ মসজিদ
মসজিদটি মসজিদ+টি
মতবাদগত মত+বাদ+গত
মতপার্থক্য মত+পার্থক্য
মুখে মুখ+ে
